,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis
SPX,3051.0,0.032712775588474026,1.3927904394469266,-14.233493656366006,-0.6815734515440566,0.09126894364851097,0.7993629323049375,8.754484409525363,-0.6924059761100281,8.958702685856705
Momentum,3051.0,0.05238159312868031,1.2559484999141428,-13.199230939777795,-0.4898881901690857,0.1134381511862139,0.6740709610700446,10.116860456364938,-0.5290683428375912,10.84831170919322
Value,3051.0,0.04816051169689173,1.1000576605629073,-10.737886260956623,-0.3854788833190981,0.07168785147929535,0.5764379624506688,9.861164880890513,-0.40330195121957324,12.82778416884856
Quality,3051.0,0.0502134666539838,1.0910276290069854,-11.588661379931667,-0.3638415778071916,0.06589651915411851,0.5724200559136315,9.986283570948851,-0.5890936078412722,14.958541795617618
Min_Vol,3051.0,0.04032116459218331,0.8873186924265947,-10.62686833958507,-0.30874047557030554,0.07498665436357448,0.4558409928265116,8.312406069034878,-0.8958137741991504,21.63088174265883
Size,3051.0,0.04066205770118014,1.1874364958494519,-13.568108565755013,-0.4871319766239851,0.0434041535051081,0.6437277636069305,9.5589365879079,-0.8655967338756051,16.242637549702536
