Factor,Ticker,GARCH_AIC,GARCH_Persist,EGARCH_AIC,EGARCH_Gamma,AIC_Diff,Better_Model,JB_Stat,JB_Pval,LB_Resid_P,LB_SqResid_P
SPX,SPY,9860.24,0.9764,9773.69,-0.0997,-86.55,EGARCH,271.07,1.38e-59,0.8923,0.6847
Momentum,MTUM,8820.29,0.976,8713.2,-0.1364,-107.09,EGARCH,587.08,3.29e-128,0.675,0.2533
Value,VLUE,7850.58,0.9768,7671.71,-0.1804,-178.86,EGARCH,841.75,1.65e-183,0.7863,0.1136
Quality,QUAL,7766.98,0.9641,7610.72,-0.1807,-156.27,EGARCH,1033.3,4.18e-225,0.7503,0.0959
Min_Vol,USMV,6335.25,0.964,6226.68,-0.1605,-108.57,EGARCH,1595.49,0.00e+00,0.3759,0.6075
Size,IWM,8415.92,0.9662,8323.64,-0.1315,-92.28,EGARCH,376.68,1.60e-82,0.4029,0.1159
